Street_minus_dir,County,State,Latitude,Longitude,Total_Severity_Score,Night_Severity_Score,Night_Accident_Count,Night_SevScore_Ratio
I-70,Grand,UT,39.01082938113778,-109.56776441990279,725,234,100,0.32275862068965516
I-95,Bryan,GA,31.924265261287008,-81.33176702800503,222,67,18,0.30180180180180183
I-95,Petersburg,VA,37.21478411284046,-77.38103389688716,1413,508,188,0.359518754423213
I-70,Putnam,IN,39.52520015509095,-86.84735759079074,850,318,108,0.37411764705882355
I-40,Smith,TN,36.16798753760266,-85.95049130246008,554,220,83,0.3971119133574007
I-35,Love,OK,33.8832540950483,-97.13825895328992,130,40,8,0.3076923076923077
I-64,Shelby,KY,38.1864723119945,-85.23228453537189,260,120,32,0.46153846153846156
I-95,Prince George,VA,37.10097211330134,-77.36390123420895,1457,562,217,0.3857240905971174
I-10,Chambers,TX,29.83002081703255,-94.71587742039783,336,90,26,0.26785714285714285
I-85,Petersburg (City),VA,37.208565142675354,-77.40649764874335,42,6,2,0.14285714285714285
I-15,Washington,UT,37.238565944012514,-113.3978177740872,3068,882,357,0.28748370273794005
I-64,St Louis,MO,38.635754989507234,-90.40664833209478,98,0,0,0.0
I-40,Hickman,TN,35.920226419035195,-87.60709463858417,536,209,61,0.38992537313432835
I-90,Madison,NY,43.09463710237464,-75.79234078426825,1382,550,211,0.3979739507959479
I-20,Ector,TX,31.789997827058823,-102.46372649647058,254,70,20,0.2755905511811024
I-40,Bernalillo,NM,35.088009632781656,-106.63673785164791,846,156,64,0.18439716312056736
I-64,Fayette,KY,38.085518691226696,-84.46160138263646,316,88,29,0.27848101265822783
I-10,Maricopa,AZ,33.44059079040095,-112.19758548870703,30392,9592,3817,0.3156093708870755
I-80,Pershing,NV,40.54467301309943,-118.21430211508259,338,116,35,0.3431952662721893
I-70,Eagle,CO,39.63545969272708,-106.53995109577141,4698,2016,652,0.42911877394636017
I-40,Jefferson,TN,36.03589323762073,-83.42121937334659,958,330,125,0.3444676409185804
I-80,Buffalo,NE,40.6856138050401,-99.03707238393558,208,104,29,0.5
I-65,Newton,IN,41.19399048775197,-87.28456956591407,134,50,19,0.373134328358209
I-40,Sevier,TN,35.984947936683554,-83.61214051006095,264,90,32,0.3409090909090909
I-40,Cheatham,TN,36.08063803527255,-87.0923553107677,435,145,54,0.3333333333333333
I-64,St. Louis County,MO,38.63935330062796,-90.43409128449558,3825,850,268,0.2222222222222222
I-94,Wright,MN,45.29923246174164,-93.79550345104829,5344,2394,1095,0.44797904191616766
I-20,Florence,SC,34.199128466769466,-79.85872315623232,70,38,13,0.5428571428571428
I-40,Oklahoma,OK,35.444431655480976,-97.47322347315435,2801,709,223,0.25312388432702604
I-95,Clarendon,SC,33.686487167956535,-80.26431983134518,3352,1096,373,0.3269689737470167
I-95,Liberty,GA,31.73217323204004,-81.38444005168871,197,46,13,0.233502538071066
I-35,Cleveland,OK,35.29544138235294,-97.48871659803922,368,106,28,0.28804347826086957
I-20,Taylor,TX,32.47217382,-99.82063626804877,170,58,16,0.3411764705882353
CA-99,Tulare,CA,36.17202518278297,-119.35781639600627,5463,1983,969,0.3629873695771554
I-90,Columbia,WI,43.50891210696078,-89.52448851460784,287,69,24,0.24041811846689895
I-90,Mower,MN,43.706674492224884,-92.78240594269211,722,386,178,0.5346260387811634
I-40,Fayette,TN,35.33170904985116,-89.54147336052591,528,200,55,0.3787878787878788
I-94,Porter,IN,41.61206038747751,-87.11107436470041,1327,380,142,0.2863602110022607
I-64,White,IL,38.24181170698427,-88.11239665153576,124,70,18,0.5645161290322581
I-84,Hood River,OR,45.69582826437243,-121.65210638892661,1848,602,270,0.32575757575757575
I-80,Venango,PA,41.190474405509995,-79.84695414538987,634,228,64,0.35962145110410093
I-84,Tolland,CT,41.88945286170798,-72.34551019679249,768,268,94,0.3489583333333333
I-40,Burke,NC,35.71839856272761,-81.62338898278303,1240,461,151,0.3717741935483871
I-65,Morgan,AL,34.444437512982944,-86.90124226787864,1057,218,71,0.20624408703878902
I-80,Lancaster,NE,40.857611239986085,-96.69597364866051,308,122,40,0.3961038961038961
I-84,Morgan,UT,41.09828074111861,-111.72873276041264,1910,758,311,0.3968586387434555
I-95,Fredericksburg (City),VA,38.2976095208117,-77.50550148080293,208,60,27,0.28846153846153844
I-94,Grant,MN,46.049407708075194,-95.84092643299446,653,330,160,0.5053598774885145
I-10,Leon,FL,30.49014284090921,-84.24913413417049,528,150,64,0.2840909090909091
I-35,Sumner,KS,37.35638720000001,-97.32940060000001,38,8,2,0.21052631578947367
I-10,St Tammany,LA,30.272542779775108,-89.7471045888795,258,62,22,0.24031007751937986
I-85,Clayton,GA,33.635401550770354,-84.45401271574846,128,54,17,0.421875
I-94,St. Croix,WI,44.94850214148512,-92.47868412611815,960,330,129,0.34375
I-70,Douglas,KS,38.99653985173288,-95.28325756622225,84,32,12,0.38095238095238093
I-95,Orangeburg,SC,33.3790098526289,-80.51925433208679,1552,404,121,0.2603092783505155
I-94,Otter Tail,MN,46.187543613736324,-95.98577017422434,738,358,172,0.48509485094850946
I-70,Jackson,MO,39.058386855905134,-94.43778246967712,12619,4135,1611,0.3276804818131389
I-405,Multnomah,OR,45.51278462060497,-122.68308457150108,2836,782,302,0.2757404795486601
I-94,Ramsey,MN,44.95316088192142,-93.11524007124719,10116,3588,1482,0.35468564650059314
I-75,Hamilton,TN,35.0318535260715,-85.15931734858648,7838,1936,734,0.2470017861699413
I-65,Mobile,AL,30.72174472566839,-88.11048010127118,5328,1546,514,0.29016516516516516
I-20,Reeves,TX,31.267309916666665,-103.79588013888889,148,38,11,0.25675675675675674
I-90,Lorain,OH,41.445491611111116,-82.05274417283951,475,90,31,0.18947368421052632
I-10,Mobile,AL,30.61630897463159,-88.13263936227904,8263,1960,703,0.23720198475130097
I-40,Guilford,NC,36.05631612251192,-79.79262563044009,3552,912,335,0.25675675675675674
I-85,Rowan,NC,35.61538157982679,-80.50017952783601,1631,556,190,0.34089515634580014
I-40,Coconino,AZ,35.19914296827838,-111.709512816387,3752,1696,696,0.4520255863539446
I-10,Ascension,LA,30.223027497178432,-90.92699059019482,1232,322,104,0.26136363636363635
I-80,Hamilton,NE,40.82173153463071,-98.04959870062129,220,80,24,0.36363636363636365
I-10,Guadalupe,TX,29.57909120307898,-97.9609407896205,334,80,18,0.23952095808383234
I-64,James City,VA,37.361037421487154,-76.75138576869678,2076,736,266,0.35452793834296725
I-20,Harrison,TX,32.48320957958334,-94.35371866916665,276,64,19,0.2318840579710145
I-70,Elbert,CO,39.39738952480661,-103.88245152745095,246,94,26,0.3821138211382114
I-95,Darlington,SC,34.255032894736836,-79.75607905263158,44,20,8,0.45454545454545453
I-64,St Charles,MO,38.72747246206827,-90.71760698969199,28,0,0,0.0
I-75,Hamilton,OH,39.187667607954765,-84.48884925371507,11227,3410,1029,0.30373207446334727
I-85,Lee,AL,32.59805685871352,-85.44382896133077,656,177,54,0.2698170731707317
I-10,Pecos,TX,30.88673714242424,-102.7326701187879,140,74,17,0.5285714285714286
I-10,Austin,TX,29.768261491097732,-96.10690452172115,100,40,10,0.4
I-10,Kerr,TX,30.087123714285717,-99.132446,90,18,4,0.2
I-65,Scott,IN,38.70690493655314,-85.80353544812392,716,406,115,0.5670391061452514
I-64,Virginia Beach,VA,36.811178090566045,-76.19622177358488,1622,336,113,0.20715166461159062
I-94,Clay,MN,46.817273698546,-96.65846164707683,378,148,67,0.3915343915343915
I-5,Josephine,OR,42.58247322031601,-123.356143714643,4406,1822,860,0.4135270086246028
I-65,Clark,IN,38.39769109240475,-85.76144407690586,2979,807,296,0.27089627391742194
I-95,Penobscot,ME,44.89391595141727,-68.87834060112527,465,124,44,0.26666666666666666
I-84,Multnomah,OR,45.54544765114472,-122.47734407493681,9575,3373,1391,0.3522715404699739
I-65,Cullman,AL,34.11017081242995,-86.87230380440587,1641,370,127,0.2254722730042657
I-40,Crawford,AR,35.482784863458264,-94.2411900522705,500,166,56,0.332
I-64,Jefferson,KY,38.243624333757694,-85.65308377407256,7823,2147,623,0.2744471430397546
I-95,Southeastern Connecticut,CT,41.376884530206326,-71.99479291184306,546,170,70,0.31135531135531136
I-35,Wyandotte,KS,39.05844708899434,-94.63160350589534,1846,562,226,0.30444203683640303
I-94,Dunn,WI,44.90535953540394,-91.91377041609105,572,186,68,0.32517482517482516
I-40,Quay,NM,35.1398819315785,-103.57710298328726,172,54,17,0.313953488372093
I-85,Oconee,SC,34.49494644256475,-83.00590055409945,948,264,96,0.27848101265822783
I-35,Dakota,MN,44.68245348293384,-93.29073551781053,2879,1082,441,0.3758249392150052
I-5,Jackson,OR,42.26252267890804,-122.82365666439352,9609,3747,1758,0.3899469247580393
I-84,Box Elder,UT,41.78948603491482,-112.37706267794668,1482,660,286,0.44534412955465585
I-80,Cass,IA,41.49720143941352,-94.94766774528098,1056,474,161,0.44886363636363635
I-64,Wayne,IL,38.266019,-88.45775706666667,56,24,6,0.42857142857142855
I-65,Clinton,IN,40.24538483199566,-86.6357379714371,414,116,35,0.28019323671497587
I-35,Jackson,MO,39.09243627673298,-94.5888139095302,4049,1142,413,0.28204494937021485
I-20,Rankin,MS,32.27557509376019,-90.09561007021922,1612,368,147,0.228287841191067
I-10,Orleans,LA,30.00211029750522,-90.03631609282914,14469,5432,2058,0.3754233188195452
I-95,Somerset,ME,44.70213025490196,-69.48480711764707,136,38,14,0.27941176470588236
I-85,Davidson,NC,35.79837577348329,-80.22738781433638,1339,421,146,0.3144137415982076
I-40,Torrance,NM,35.00753619142144,-105.81580890086497,94,40,15,0.425531914893617
I-70,Callaway,MO,38.93673055143511,-91.88616762220917,306,122,51,0.39869281045751637
CA-99,Sutter,CA,38.96504952575041,-121.58582707833787,142,84,30,0.5915492957746479
I-80,Clinton,PA,41.04960027401297,-77.32905117088949,1516,730,266,0.4815303430079156
I-5,Lane,OR,43.97887751262329,-123.03866914545252,5210,2014,923,0.38656429942418424
I-70,Wayne,IN,39.85711192617834,-85.00357898724901,1032,338,122,0.32751937984496127
I-70,Jefferson,CO,39.75068475652614,-105.16328935708067,6738,2055,649,0.304986642920748
I-10,Pima,AZ,32.23213297224428,-110.98228184174711,4151,1175,451,0.28306432185015656
I-20,Martin,TX,32.122193971,-101.818251647,76,28,8,0.3684210526315789
I-65,Davidson,TN,36.179282276907905,-86.76597560468294,19444,5447,1942,0.2801378317218679
I-65,Shelby,AL,33.22469225959956,-86.77977672947506,4118,963,348,0.2338513841670714
I-40,Wake,NC,35.762935266031114,-78.67466969063047,21776,5896,2278,0.27075679647318146
I-40,Forsyth,NC,36.06324239018457,-80.22810616283729,2951,584,191,0.19789901728227718
I-64,Henrico,VA,37.58198948653203,-77.45062434650478,8923,2873,1044,0.3219769135940827
I-20,St Clair,AL,33.58991511030652,-86.3808156009616,233,70,31,0.30042918454935624
I-40,Pulaski,AR,34.80604330017369,-92.26695228967657,1724,690,305,0.40023201856148494
I-75,McMinn,TN,35.4155659123583,-84.69464786541656,1134,404,155,0.3562610229276896
I-40,Benton,TN,35.8671631046366,-87.9905904205649,174,58,22,0.3333333333333333
I-64,Covington,VA,37.77360379487179,-79.98771415384616,136,32,6,0.23529411764705882
I-75,Cheboygan,MI,45.50942957848621,-84.62494492405213,128,8,3,0.0625
I-80,Hall,NE,40.79317164864866,-98.4722178108108,144,36,10,0.25
I-20,Howard,TX,32.25362604527778,-101.45160009249999,134,56,18,0.417910447761194
I-10,St Martin,LA,30.316182877142815,-91.82892201953902,228,134,48,0.5877192982456141
I-70,Emery,UT,38.886484228833396,-110.71514578662817,859,313,134,0.36437718277066355
I-64,Norfolk,VA,36.90384528145454,-76.23729612152158,14200,4476,1629,0.3152112676056338
I-95,Rockingham,NH,43.00184930633803,-70.83186615140845,792,236,85,0.29797979797979796
I-85,Petersburg,VA,37.20667775464685,-77.41302769144981,718,292,111,0.40668523676880225
I-15,Davis,UT,40.99394131901386,-111.94163156302267,12192,3645,1468,0.2989665354330709
I-64,Newport News,VA,37.14507153827916,-76.52080292558836,4045,1242,413,0.30704573547589614
I-80,York,NE,40.82153205016051,-97.5993242499339,244,118,49,0.48360655737704916
I-90,McHenry,IL,42.18589344105386,-88.64184789757628,180,92,33,0.5111111111111111
I-64,Hampton (City),VA,37.049594484301096,-76.40477067397381,512,198,84,0.38671875
I-90,Rock,MN,43.630089180028676,-96.21890968977436,124,74,28,0.5967741935483871
I-75,Whitfield,GA,34.743558385929454,-85.0016565647258,558,206,58,0.36917562724014336
I-5,Clark,WA,45.71368051325149,-122.67291407735088,2881,1098,393,0.3811176674765706
I-10,Hudspeth,TX,31.210502773440325,-105.55385766257706,200,56,18,0.28
I-90,Shoshone,ID,47.48064488834712,-115.86069487877135,436,146,59,0.3348623853211009
I-10,Luna,NM,32.253232213751126,-107.80063816368161,234,70,28,0.29914529914529914
I-35,Carter,OK,34.215861652173906,-97.15920899999998,92,26,8,0.2826086956521739
US-101,San Luis Obispo,CA,35.1759188582869,-120.54109386370959,1825,651,315,0.3567123287671233
I-94,Dane,WI,43.11980149016509,-89.19425923069099,771,234,87,0.3035019455252918
I-5,Douglas,OR,43.206260966618956,-123.3125400139528,9160,3744,1788,0.40873362445414846
I-64,Augusta,VA,38.05350994772386,-79.05225082503868,4180,1264,474,0.30239234449760766
I-40,Haywood,NC,35.63225445386143,-82.96414735092146,2962,1011,380,0.34132343011478733
I-5,Kings,CA,35.94462580024685,-119.92856427583749,1012,403,188,0.39822134387351776
I-90,Oneida,NY,43.12365834367012,-75.41342236049255,1906,828,345,0.43441762854144805
I-95,Western Connecticut,CT,41.09409452426266,-73.45273147782937,18,12,6,0.6666666666666666
I-40,Apache,AZ,35.20644206381976,-109.38509602184813,1421,572,218,0.40253342716396906
I-10,Calcasieu,LA,30.220371231364453,-93.30816385864708,3472,974,313,0.2805299539170507
I-95,St. Johns,FL,29.91808053311826,-81.42353039662012,6259,2103,757,0.33599616552164885
I-75,Rockcastle,KY,37.37156905031476,-84.31156750634204,156,28,9,0.1794871794871795
I-80,Northumberland,PA,41.041164961428734,-76.8232904265219,720,318,76,0.44166666666666665
CA-99,Kern,CA,35.386415982568444,-119.07146625397755,9964,3972,1904,0.3986350863107186
I-20,Richland,SC,34.06459679794089,-80.9965145975895,12155,2759,978,0.2269847799259564
I-94,Washington,MN,44.94994886719091,-92.90674183335433,2858,974,424,0.34079776067179846
I-64,Albemarle,VA,38.0271021546755,-78.58669682305913,5122,1200,452,0.23428348301444749
I-40,Loudon,TN,35.871807175404726,-84.28553569408516,522,104,33,0.19923371647509577
I-94,Douglas,MN,45.89429000269537,-95.46172773017088,2150,1120,544,0.5209302325581395
I-20,Mitchell,TX,32.368851625208336,-100.96980063416667,178,64,16,0.3595505617977528
I-10,Baker,FL,30.259823005200726,-82.18951421082623,506,156,61,0.308300395256917
I-70,Clear Creek,CO,39.72191959085821,-105.67454244993404,3448,1120,368,0.3248259860788863
I-40,Custer,OK,35.521666833333335,-98.78455133333334,24,2,1,0.08333333333333333
I-70,Montgomery,MO,38.88472808028858,-91.44829513739509,548,198,70,0.3613138686131387
I-65,Marion,IN,39.76833899281222,-86.15716536561091,11205,3754,1283,0.335029004908523
I-64,Fayette,WV,37.95968760735204,-81.28856851558957,264,78,39,0.29545454545454547
I-80,Carbon,PA,41.06548516878831,-75.70973179252884,444,232,64,0.5225225225225225
I-40,McKinley,NM,35.44730652064132,-108.52343574734992,760,312,133,0.4105263157894737
I-20,Tuscaloosa,AL,33.17180946961832,-87.42862055856553,3768,1447,552,0.38402335456475584
I-95,Nash,NC,35.973972458951614,-77.88488675067025,1033,294,99,0.2846079380445305
I-35,Harrison,MO,40.38427483321458,-93.98516766916343,100,30,8,0.3
I-15,Utah,UT,40.271330424182786,-111.75828334169225,15958,4669,1895,0.2925805238751723
I-75,Loudon,TN,35.80050839699907,-84.32087821002442,502,172,55,0.3426294820717131
I-95,Middlesex,NJ,40.30886052777778,-74.49186011111112,98,22,10,0.22448979591836735
I-80,Steuben,IN,41.720609276595745,-84.98239072340425,200,102,22,0.51
